qtid,semester_en,semester_kor,chapter_order,chapter_name,genre_order,genre_name,genre_subtitle,1,2,3,4,5,total_output_question,1,2,3,4,5,total_input_question
HSU1-09-12,4,5307168
HSU1-09-12,2,5307647
HSU1-09-12,3,5306171
HSU1-08-14,3,6065337
HSU1-10-03,3,5306491
HSU1-10-04,3,5308609
HSU1-10-04,3,5306636
HSU1-10-04,4,5308846
HSU1-10-05,3,5305282
HSU1-10-05,3,5304323
HSU1-05-11,2,5162229
HSU1-10-05,2,5310513
HSU1-10-07,3,5306173
HSU1-10-07,3,5309846
HSU1-10-08,3,5309702
HSU1-10-09,4,5308151
HSU1-10-09,3,5304929
HSU1-09-01,2,5394741
HSU1-10-09,4,5309890
HSU1-10-10,4,5305149
HSU1-10-11,4,5308528
M1S1-06-12,3,5587538
HSU1-10-11,4,5304476
HSU1-10-11,4,5307630
HSU1-10-12,3,5305236
HSU1-10-12,3,5306265
HSU1-10-14,3,5307974
HSU1-10-16,3,5307503
HSU1-11-01,3,5305478
HSU1-11-01,3,5304301
HSU1-11-02,3,5310384
M1S1-07-18,3,5530217
HSU1-11-02,4,5306088
HSU1-05-01,2,5834372
HSU1-11-04,3,5309773
M1S1-05-19,2,3168476
HSU1-11-04,5,5306223
HSU1-11-05,3,5306122
HSU1-11-05,3,5310436
HSTA-02-05,2,5394742
HSU1-11-05,3,5308934
HSU1-11-07,3,5309913
HSU1-11-07,3,5309989
HSTA-07-07,3,5827834
HSU1-11-09,4,5309312
M2S1-07-12,2,5372055
HSU1-11-09,3,5309746
HSU1-11-09,4,5307936
HSU1-02-04,3,5394743
HSU1-11-10,3,5309914
HSU1-11-11,3,5306475
HSU1-11-11,3,5304303
HSTA-04-02,3,5394745
HSU1-11-11,3,5309842
HSU1-10-02,4,5394746
HSU1-11-11,3,5307722
HSU1-11-12,3,5306124
HSU1-11-12,3,5307173
HSU1-11-13,3,5310054
HSU1-11-13,3,5310377
HSU1-11-13,3,5306093
HSU1-11-13,4,5307602
HSU2-02-06,4,5394748
HSU1-01-01,3,5307231
HSU1-01-03,3,5307121
HSU1-01-04,3,5307982
HSU1-01-04,2,5308518
HSU1-01-06,4,5305768
HSU1-01-12,3,5304601
HSU1-01-12,3,5308932
HSU1-01-14,3,5309050
HSU1-02-01,2,5309599
HSU1-02-01,3,5307670
HSU1-02-02,4,5304981
HSU1-02-02,3,5305216
HSU1-02-03,3,5305279
HCAL-10-02,4,5394751
HCAL-01-18,4,5394752
HSU2-08-01,5,5394754
H1S2-07-15,2,5394428
HCAL-03-04,2,5394430
EXEP-01-01,2,5394431
HCAL-09-02,3,5394432
HSTA-04-08,3,5394433
HCAL-04-02,3,5394434
HSTA-03-14,3,5394435
H1S2-04-07,3,266721
M2S1-07-17,3,6037689
M2S1-07-17,3,6037691
HSU1-02-08,3,5309396
HSU1-02-08,3,5310051
HSU1-02-11,4,5309984
HSU1-02-11,4,5305347
HSU1-02-13,3,5309919
HSU1-02-15,3,5309047
HSU1-02-17,3,5308989
HSU1-02-17,3,5309703
HSU1-08-01,2,5841917
M2S1-07-17,3,6037693
M2S1-07-17,3,6037694
HSU1-08-01,3,5306536
HSU1-08-01,2,5309926
M1S1-06-01,3,5415713
M1S1-04-07,3,5415565
HCAL-01-18,4,266722
M1S1-07-10,3,5411347
HSU1-08-05,3,5309286
HSU1-08-07,3,5306169
M1S1-08-04,3,5415356
HSU1-08-11,3,5304465
M1S1-07-09,3,5414315
HSU1-11-05,4,5309720
HSU1-08-13,2,5307814
HSU1-08-13,2,5308961
HSU1-08-13,3,5306516
HSU1-08-15,3,5305288
HSU1-09-01,3,5309691
EXEP-01-01,,5391593
HSU1-09-02,4,5352857
HSU1-09-02,3,5309603
M1S1-06-01,3,5414798
M2S1-09-08,2,5596928
HSU1-09-04,4,5306264
HSU1-09-04,2,5310433
HSU1-09-04,4,5309383
HSU1-04-19,4,5847662
HSU1-06-17,3,5834396
HSU1-09-12,4,5309798
HSU1-09-12,3,5305108
HSU1-10-03,4,5305089
HSU1-10-04,3,5309389
HSU1-10-04,3,5307798
HSU1-10-05,3,5304455
HSU1-10-05,4,5307561
HSU1-10-07,3,5309511
HSU1-10-07,3,5307239
HSU1-10-11,3,5308152
HSU1-10-12,3,5306090
HSU1-10-16,3,5307779
HSU1-11-01,3,5309738
HSU1-11-02,3,5307799
HSU1-11-04,4,5310045
HSU1-11-04,4,5308969
HSU1-11-05,3,5309285
HSU1-11-07,3,5304477
HSU1-07-05,4,5843249
HSU1-11-09,3,5307781
HSU1-11-09,3,5308146
M2S1-01-14,4,6106371
HSU1-11-10,3,5310516
M2S1-05-02,4,5408785
HSU1-11-12,3,5306544
HSU1-11-12,3,5310068
HSU1-11-13,3,5305185
HSU1-11-13,3,5305756
HSU1-11-13,4,5310027
HSU1-01-04,2,5310520
M1S1-01-01,3,6037755
HSU1-01-12,3,5307702
HSU1-01-14,3,5308935
HSU1-02-03,3,5305209
H1S1-08-23,3,4980312
H1S1-08-22,3,5998333
HSU2-07-06,3,5394437
M2S1-07-18,5,5367969
HSU1-05-12,2,5160594
HSU1-02-18,3,5306576
EXEP-01-01,3,5394438
EXEP-01-01,3,5394439
HSU1-08-02,3,5309713
HCAL-05-09,3,5394440
HSU1-08-13,2,5307817
HSTA-06-09,3,5394441
HSU1-09-05,4,5308931
HSU1-09-09,2,5305231
HSU1-10-04,3,5308883
HSU1-10-04,3,5306085
HSU1-10-05,4,5310067
HSU1-10-07,3,5307920
HSU1-10-11,3,5310372
HSU1-11-02,3,5306542
HSU1-11-05,3,5309393
EXEP-01-01,3,5394443
M1S1-05-16,3,5586600
HSU1-11-09,1,5306433
HSU1-03-10,4,5827550
HSU1-11-10,3,5305510
HCAL-10-02,4,5394444
HSU1-01-04,3,5308889
HSU1-03-04,4,5394445
HCAL-07-10,4,5394446
HCAL-05-12,4,5394447
HSTA-02-03,4,5394448
HSU1-09-09,2,5309978
HSU1-10-04,3,5304324
HSU1-10-11,3,5309748
HSU1-11-10,3,5305240
EXEP-01-01,4,5394449
HSU1-09-09,3,5307513
HCAL-07-06,4,5394450
HSU1-03-02,3,5163119
HSU1-03-02,3,5160546
HSU1-03-02,4,5164206
HSU1-03-02,3,5160629
HSU1-03-03,4,5163385
HSU1-03-03,3,5163808
HSU1-03-03,4,5162194
HCAL-04-13,5,5394453
HSTA-02-05,2,5394455
HSU1-03-03,4,5163830
M1S1-08-07,3,6037765
HSU1-03-03,4,5160580
HSU1-03-05,3,5160180
HSU1-03-05,3,5161850
HSU1-03-07,2,5161470
HSU1-03-07,2,5162928
HSU1-03-07,3,5163525
HSU1-03-07,3,5164420
HSU1-03-07,2,5158988
HSU1-03-08,3,5159666
HSU1-03-08,2,5160630
HCAL-05-04,2,5394457
HSU1-03-08,2,5160582
HSU1-03-08,3,5160833
M2S1-03-02,3,5372415
H1S2-07-25,3,5394458
HSU1-03-09,3,5162471
HSU1-03-09,3,5162838
HSU1-03-09,3,5160719
HCAL-10-15,3,5394459
HSU1-03-11,2,5163620
HSU1-03-12,3,5162400
HSU1-03-12,3,5161985
HSTA-04-03,4,5394460
HSU1-03-12,3,5163030
HSU1-03-13,4,5159882
HCAL-10-12,4,5394464
HSU1-03-15,3,5159752
EXEP-01-01,4,5394465
EXEP-01-01,4,5394467
HSU1-03-16,3,5161939
HCAL-09-03,5,5394470
HSU1-03-17,3,5162929
HSU1-03-17,3,5161986
HSU1-03-17,3,5162823
HSU1-03-18,3,5160803
HSU1-01-05,2,5394280
HSU1-03-20,3,5161957
HSU1-03-20,3,5162484
HSU1-03-20,3,5164190
HSU1-03-21,3,5162683
H1S2-02-01,2,5394281
HSU1-03-21,3,5164214
HCAL-01-04,2,5394284
H1S2-04-16,3,5394285
H1S2-04-19,3,5394287
HSTA-02-05,3,5394288
H1S2-02-02,3,5394290
HCAL-01-14,3,5394291
HSU1-04-02,3,5160960
HSU2-02-05,3,5394292
HSU2-01-02,3,5394293
H1S2-07-25,3,5394294
HSU1-04-04,4,5161955
HSU1-04-04,5,5160632
HSU1-04-04,3,5164424
HSU1-04-04,3,5163040
HSU1-04-04,3,5161602
HSU1-04-05,3,5160077
HSU1-04-05,3,5161725
HSU1-04-05,4,5159136
M2S1-10-07,3,3305765
HSU1-04-06,3,5159487
HSU1-04-07,2,5162195
HSTA-07-06,3,6065520
HSU1-04-07,3,5164333
HSU1-04-07,3,5163922
HSU1-04-07,3,5162679
HSU1-04-07,4,5162023
HSU1-01-05,4,266723
M1S1-04-07,3,5415566
HSU1-04-08,3,5159739
HSU1-02-01,2,5570276
HSU1-04-09,4,5164182
HSU1-04-09,4,5161491
HSU1-04-09,4,5161663
HSU1-04-10,4,5159155
H1S2-05-23,4,266724
HSU1-04-11,3,5163402
HSU1-06-17,3,5849770
HSU1-04-11,4,5161811
HSU1-04-12,3,5160631
HSU1-07-07,2,5576064
HSU1-04-15,3,5160586
HSU1-04-15,3,5163168
HSU1-04-15,3,5163103
HSU1-04-17,4,5163552
HSU1-04-18,4,5161294
M2S1-05-03,3,6038085
HSU1-04-19,3,5163077
HSU1-04-19,3,5159161
M2S1-08-01,5,6037700
M2S1-08-01,3,6037702
HSU1-04-21,3,5159719
HSU1-04-21,3,5159443
HSU1-04-21,2,5163813
HSU1-04-21,3,5159162
HSU1-05-01,3,5162172
HSU1-05-02,3,5159812
HSU1-05-02,3,5161325
HSU1-05-03,3,5163085
HSU1-05-03,3,5164550
HSU1-05-03,3,5164431
M2S1-08-04,3,6037706
M2S1-08-04,3,6037707
M2S1-08-04,5,6037709
EXEP-01-01,3,5408784
HSU1-05-05,4,5160549
HSU1-05-05,3,5159200
HSU1-05-05,4,5159403
HSU1-05-05,3,5164432
HSU1-05-05,3,5161607
HSU1-05-10,3,5163392
HSU1-06-13,1,6043225
HSU1-05-06,4,5163669
HSU1-05-06,3,5160103
HSU1-05-06,3,5159622
HSU1-05-06,3,5162983
HSU1-05-06,3,5159397
M1S1-08-01,3,5415355
HSU1-05-07,4,5161542
M1S1-07-09,3,5411591
HSU1-05-08,3,5162174
HSU1-05-08,3,5160084
HSU1-05-08,4,5161822
HSU1-05-08,3,5163108
HSU1-05-09,3,5162235
HSU1-05-10,4,5163819
HSU1-05-12,3,5161561
HSU1-05-11,3,5162013
HSU1-05-12,4,5159451
M1S1-07-14,3,5530332
HSTA-02-08,3,6065491
HSU1-05-12,4,5162018
M2S1-07-04,2,5393441
H1S1-10-04,2,4984565
HSU1-05-13,4,5159608
M1S1-07-01,3,6106443
HSTA-06-10,3,5827828
M1S1-07-18,3,5410288
H1S1-10-07,4,4986530
HSU1-06-05,3,5159449
HSU1-06-05,3,5159199
HSU1-06-05,3,5161889
HSU1-06-05,3,5164337
HSU1-06-06,3,5163124
HSU1-06-06,3,5163314
HSU1-06-06,3,5160454
HSU1-06-06,4,5159609
HSU1-06-06,3,5162919
HSU1-08-01,3,5394295
HSU1-06-07,3,5159732
M2S1-08-05,2,6037712
M2S1-08-05,3,6037714
HSU1-06-10,3,5159747
H1S2-03-07,3,5394296
HSU1-06-10,3,5163916
HSU1-06-10,3,5160641
M2S1-08-05,3,6037716
M2S1-08-05,2,6037717
M2S1-07-15,3,6037719
M2S1-07-15,3,6037721
HSU1-06-13,3,5163833
HSU1-06-04,3,5843124
HSU1-06-16,4,5159432
HSU1-06-16,3,5160672
HSU1-06-16,3,5159242
HSTA-02-03,4,5394297
HSU1-06-16,3,5161953
HSU1-06-18,4,5160455
H1S2-06-07,4,5394298
HSU1-06-21,3,5159497
HSU1-06-21,4,5164080
HSU1-06-22,4,5160566
HSU1-06-22,4,5163538
HSU1-06-23,4,5161972
HSU1-06-23,4,5164560
HSU1-06-23,3,5159450
HSU1-06-24,4,5163182
HSU1-06-24,3,5159761
H1S2-03-06,4,5394300
HSU1-06-24,4,5163039
HCAL-02-16,4,5394301
HSU1-06-25,4,5162068
HSU2-05-04,4,5394302
HSU1-06-26,4,5160596
HSU1-03-02,3,5160383
HSU1-03-04,4,5159236
HSU1-03-04,3,5159420
HSTA-04-09,4,5394305
HSU1-03-04,4,5159751
HSU1-03-04,4,5163031
HSU1-03-06,3,5161810
HSU1-03-06,3,5164399
HSU1-03-06,4,5163386
HSU1-03-06,3,5162196
HSU1-03-06,5,5161958
M2S1-07-15,2,6037723
HSU1-03-07,4,5162663
HSU1-11-05,4,5394306
M2S1-07-15,3,6037726
HSU1-03-12,3,5162427
HSU1-03-16,3,5160961
HSU1-03-16,2,5158987
HSU2-06-01,5,5394309
HSU1-04-01,4,5159710
H1S2-07-15,2,5394310
HSU2-03-11,2,5394311
H1S2-07-17,3,5394312
HSU1-04-04,5,5159211
HSU1-04-06,3,5161620
HSU1-04-06,4,5163683
HSU1-04-06,5,5159828
HSU1-04-07,3,5161534
M2S1-09-15,2,6037733
HSU1-04-11,1,5160203
HSU1-04-11,1,5161977
HSU1-04-11,3,5161846
HSU1-04-11,3,5158986
HSU1-04-18,4,5162033
HSU1-04-18,3,5159134
M2S1-09-15,3,6037735
HSU1-04-21,4,5159605
HSU1-04-21,4,5163743
HSU1-04-21,3,5162833
HSU1-05-03,2,5161982
HSU1-09-01,3,5394313
H1S2-05-15,4,5394315
HSTA-04-02,4,5394316
HSU2-05-17,4,5394318
HSU1-05-07,3,5163982
HSU2-03-08,4,5394320
HSU1-04-11,5,5394323
EXEP-01-01,2,5393973
HSU1-05-08,2,5393975
H1S2-07-15,2,5393980
HSU1-05-08,2,5163120
HSU1-05-08,2,5161848
M2S1-10-15,3,3305867
M2S1-02-16,4,5534612
M1S1-01-02,2,5411645
M1S1-05-19,4,5412155
EXEP-01-01,,5412098
M1S1-05-10,2,5410265
M2S1-07-21,3,5534821
HSU1-04-19,4,5827569
HSU1-05-11,4,5159495
HSU1-05-12,3,5161541
HSU1-05-12,3,5161165
HSU1-06-14,3,5163455
EXEP-01-01,4,5414619
HSU1-06-03,4,5159738
HSU1-04-01,1,5573421
HSU1-06-03,4,5160196
M2S1-02-06,3,6065696
M2S1-09-16,3,6037740
M2S1-10-14,3,6037742
HSU1-06-07,4,5163372
HSU1-06-07,4,5159597
HSU1-06-07,4,5162182
HSU1-11-13,4,5308988
M2S1-06-19,2,6038115
HSU1-06-17,2,5160846
M2S1-08-04,5,6037743
HSU1-06-18,2,5162118
HSU1-06-19,3,5162556
M2S1-08-04,2,6037746
M2S1-03-09,3,5368791
M2S1-07-15,3,6037752
M2S1-07-15,2,6037753
HSU1-06-23,3,5162713
HSU1-06-23,3,5160456
H1S1-04-01,3,4981574
EXEP-01-01,0,5369398
EXEP-01-01,3,5371066
HSU1-06-26,4,5161915
HSU1-06-26,4,5159742
HSU1-03-02,3,5159154
HSU1-03-02,3,5161120
HSU1-03-02,3,5162169
HSU1-03-03,4,5161804
HSU1-03-03,4,5161661
HSU1-03-05,3,5160798
HCAL-03-04,3,5393981
HSU1-03-07,2,5163076
HCAL-03-09,3,5393983
HSU1-03-09,3,5163164
HSU1-03-09,3,5161805
M1S1-06-13,3,5587374
HSU1-03-11,2,5164297
HSU1-07-03,2,5849838
HSU1-09-10,5,6065374
HSU1-03-12,3,5163100
HSU1-03-13,2,5160802
HSU1-03-15,4,5159405
HSU1-03-20,3,5160371
HSTA-02-05,3,5393985
HSU1-03-21,3,5160716
HSU1-04-02,3,5162170
HSU1-04-02,3,5162653
M1S1-01-01,3,6037757
M1S1-01-01,3,6037758
HSU1-04-04,3,5160585
HSU1-04-04,4,5161157
HSU1-04-05,3,5159221
HSU1-04-05,4,5162707
HSU1-04-06,3,5160755
HSU1-04-07,3,5163099
M1S1-01-01,5,6037760
HSU1-04-08,3,5161813
M1S1-05-16,4,3173015
M1S1-01-01,3,6037761
HSU1-04-11,3,5160742
HSU1-04-11,3,5162992
HSU1-04-11,3,5162223
M1S1-01-07,1,6106471
HSU1-04-15,3,5159753
HSU1-04-15,4,5161988
HSU1-04-15,3,5159584
HSU1-04-19,3,5163036
HSU1-04-21,3,5163438
HSU1-04-21,3,5159626
HSU1-05-03,3,5159448
M1S1-01-01,3,6037763
HCAL-04-03,3,5393988
HSU1-05-05,3,5164405
HSU1-05-05,4,5161821
HSU1-05-05,3,5160190
H1S2-07-25,3,5393991
HSU1-05-06,3,5161820
HSU1-05-06,3,5162543
HSU1-05-06,3,5160777
HSU1-05-07,3,5162686
HSU1-05-08,2,5164200
HSTA-04-01,3,5393993
HSTA-04-01,3,5393996
HSU1-05-12,3,5160452
HSU1-05-12,3,5163442
HSU1-05-13,4,5160221
HSU1-06-01,3,5160189
HSU1-06-03,3,5160843
HSU1-06-05,3,5160640
HSU1-06-05,3,5164011
HSU1-06-06,3,5163547
HSU1-06-06,3,5159887
HSU1-06-07,2,5159241
HSU1-06-07,4,5163180
HCAL-06-01,3,5394001
HSU1-06-10,3,5163387
HSU1-06-10,3,5159429
HSU1-06-10,3,5160087
EXEP-01-01,3,5394004
HSU1-06-16,4,5159169
HSU1-06-21,3,5160782
HSU1-06-22,4,5159005
HSU1-06-24,4,5162921
HSU1-06-24,4,5159737
H1S1-01-09,2,5593745
HCAL-06-10,3,5394007
HSU1-06-26,4,5163178
HSU1-03-05,3,5163025
HSTA-03-02,4,5394008
HSU1-03-11,2,5159664
HSU1-03-12,3,5161493
HSU1-03-21,3,5163924
HSU1-04-04,3,5164298
HSU1-04-04,4,5163832
HSU1-04-05,3,5158996
HSU1-04-05,4,5159423
HSU1-04-07,3,5162797
HCAL-05-04,4,5394010
HCAL-08-09,4,5394012
HCAL-06-01,4,5394014
EXEP-01-01,4,5394015
HSU1-06-07,3,5160210
HSU1-06-10,4,5163179
M1S1-08-08,3,6037773
HSU1-06-21,3,5164081
HSU1-06-22,4,5160085
HSTA-03-13,4,5394017
HSU1-06-25,3,5162688
HSU1-03-11,1,5159854
HSU1-04-05,3,5163166
HSU1-04-07,3,5160775
HSU1-05-11,2,5162202
HSU1-06-10,4,5163735
HSU1-06-22,4,5161730
M1S1-01-02,3,5415896
M1S1-01-02,2,5413501
M1S1-01-02,3,5393183
HCAL-09-12,4,5394022
M1S1-01-03,3,5393145
M1S1-01-03,3,5410633
M1S1-08-08,2,6037775
M1S1-08-08,5,6037776
M1S1-01-04,3,5411069
M1S1-08-08,2,6037778
M1S1-01-04,3,5415162
M1S1-08-08,3,6037780
HCAL-07-02,5,5394025
M1S1-01-05,4,5415638
M1S1-01-05,4,5414140
M1S1-01-05,3,5414221
M1S1-01-05,3,5413333
M1S1-01-06,3,5393099
M1S1-01-06,3,5412003
M1S1-01-06,4,5413811
M1S1-01-06,2,5415839
M1S1-01-07,3,5393121
M1S1-08-08,3,6037781
M1S1-08-08,5,6037782
HCAL-04-10,2,5394030
EXEP-01-01,2,5394032
H1S2-07-17,3,5394036
HSU1-01-05,3,5394038
EXEP-01-01,4,5394042
HSTA-02-03,4,5394044
M2S1-07-06,3,3295499
M1S1-08-08,5,6037783
H1S2-06-13,4,266725
M1S1-01-08,4,5410581
M1S1-01-08,4,5413967
M1S1-01-08,4,5413635
M1S1-01-09,4,5410229
M1S1-01-09,4,5413075
M1S1-01-09,4,5393146
M1S1-02-01,2,5413503
M1S1-02-01,2,5413777
M1S1-02-01,3,5411833
M1S1-02-01,3,5415730
M1S1-08-08,2,6037785
M1S1-09-06,3,6037786
M1S1-02-01,3,5414830
M1S1-02-02,2,5415796
M1S1-02-02,3,5411657
M1S1-02-02,3,5412568
M1S1-02-02,2,5415215
M1S1-02-02,2,5410366
M1S1-02-02,2,5415316
M1S1-02-02,2,5391144
M1S1-02-03,2,5414065
M1S1-02-03,3,5413676
HSU1-07-17,2,5834406
M1S1-02-03,2,5416111
M1S1-02-04,4,5413253
M1S1-02-04,3,5414811
M1S1-02-04,3,5415898
M1S1-02-04,4,5411087
M1S1-02-04,4,5413990
M1S1-02-04,3,5413839
M1S1-02-04,3,5414405
M1S1-02-04,4,5411842
M1S1-02-04,3,5413160
M1S1-02-05,3,5393187
HSU1-10-08,4,266726
M1S1-02-05,5,5410929
M1S1-02-06,4,5393125
HCAL-02-16,4,266727
M1S1-02-06,4,5411816
M1S1-02-06,4,5411663
M1S1-02-06,4,5411896
H1S1-08-22,4,266728
M1S1-02-07,3,5415413
M1S1-02-07,4,5414736
H1S2-02-11,5,266729
M1S1-02-07,4,5413557
HSU1-02-03,2,266730
HSU1-08-03,2,266731
M1S1-02-08,3,5413161
M1S1-02-08,3,5410917
HCAL-01-02,3,266732
M1S1-02-08,4,5411615
M1S1-02-08,4,5414029
M1S1-02-08,3,5411819
H1S2-06-11,3,266733
HCAL-02-09,4,266734
HSU1-10-11,4,266735
H1S2-02-15,4,266736
HSU1-02-03,4,266737
H1S2-01-06,5,266738
M1S1-02-09,4,5413649
M1S1-02-09,4,5413285
M1S1-09-12,2,6037788
M1S1-02-09,3,5415799
M1S1-02-10,3,5413616
HSU1-05-08,2,266679
H1S2-07-15,2,266680
HCAL-05-04,2,266681
M1S1-02-11,4,5413446
M1S1-02-11,4,5411864
M1S1-02-11,3,5413636
M1S1-02-11,4,5413284
M1S1-02-12,4,5414181
M1S1-02-12,4,5415501
M1S1-02-12,4,5410136
HCAL-09-06,3,266682
M1S1-02-12,4,5411789
M1S1-02-12,4,5411876
HSU1-03-06,3,266683
M1S1-02-12,4,5415360
M1S1-02-12,4,5411136
M1S1-02-12,5,5414223
M1S1-02-13,3,5411266
M1S1-02-13,3,5415899
HSU1-06-06,3,266684
M1S1-02-13,3,5413358
M1S1-02-13,3,5413282
M1S1-02-13,4,5415625
M1S1-02-13,5,5412076
HSU1-10-02,3,266685
M1S1-02-13,5,5411901
M1S1-02-14,4,5413966
M1S1-02-14,3,5414735
M1S1-02-14,5,5413648
M1S1-02-14,4,5413448
M1S1-03-01,3,5415166
M1S1-03-01,3,5411665
M1S1-09-12,3,6037790
M1S1-03-02,3,5410159
HCAL-07-02,3,266686
M1S1-03-02,3,5410367
HCAL-10-04,3,266687
M1S1-03-03,4,5391102
M1S1-03-03,4,5393190
M1S1-03-03,4,5411639
M1S1-03-03,4,5413751
M1S1-03-03,3,5410368
M1S1-03-03,3,5413863
M1S1-03-04,4,5412505
M1S1-03-04,3,5413506
M1S1-03-04,4,5414912
M1S1-09-12,3,6037791
M1S1-03-05,4,5414637
HCAL-04-04,3,266688
M1S1-03-05,3,5410638
M1S1-03-05,3,5412533
HSU1-04-06,3,266689
H1S2-07-13,3,266690
M1S1-03-06,3,5410730
M1S1-03-07,3,5415371
M1S1-03-07,3,5414832
M1S1-03-07,3,5411805
M1S1-03-07,3,5413661
HCAL-03-07,3,266691
M1S1-03-08,3,5413817
M1S1-03-08,3,5413749
M1S1-03-08,3,5411958
HCAL-06-11,4,266692
HSTA-01-01,4,266693
M1S1-07-10,3,6037793
M1S1-07-10,5,6037794
HCAL-09-10,4,266694
HCAL-04-13,4,266695
M1S1-03-09,3,5411541
M1S1-07-10,3,6037796
M1S1-07-10,2,6037798
M1S1-03-10,4,5411905
HCAL-07-10,4,266696
M1S1-03-10,4,5413795
H1S1-07-21,1,5998093
M1S1-03-10,3,5414759
M1S1-03-10,4,5410908
M1S1-03-10,4,5413463
M1S1-04-01,3,5411547
M1S1-04-01,3,5411822
H1S1-07-21,1,5998094
H1S1-07-21,2,5998095
H1S1-07-21,2,5998096
HCAL-10-12,4,266697
M1S1-04-02,3,5416117
M1S1-04-02,3,5393194
M1S1-04-02,3,5413508
HSTA-02-01,4,266698
H1S1-07-21,3,5998098
M1S1-04-03,3,5413397
H1S1-07-21,3,5998099
M1S1-04-04,3,5415271
HSU2-08-10,5,266699
M1S1-04-04,3,5411248
M1S1-04-04,3,5414380
M1S1-04-04,3,5413398
M1S1-04-05,3,5415170
M1S1-04-05,3,5413491
M1S1-04-05,3,5410342
M1S1-04-06,5,5413465
M1S1-04-07,3,5413331
M1S1-04-07,3,5411644
M1S1-04-07,3,5415268
M2S1-07-18,3,3295509
M1S1-04-07,3,5411373
HSU1-03-16,2,266700
M1S1-04-08,3,5413840
M1S1-04-08,3,5413617
M1S1-04-08,3,5414862
HCAL-04-09,2,266701
M1S1-04-10,3,5411672
HCAL-05-11,3,266702
HSU1-05-06,3,266703
M1S1-04-11,3,5411773
HSTA-01-07,4,266704
M1S1-04-11,3,5413090
H1S1-07-21,3,5998100
M1S1-04-12,3,5413453
M1S1-04-12,4,5413888
M1S1-04-12,3,5413168
M1S1-04-13,3,5413429
M1S1-04-13,3,5413822
M1S1-04-13,4,5415417
M1S1-04-13,3,5414230
M2S1-07-05,3,5594613
HSU1-03-04,4,266705
M1S1-04-14,3,5411671
M1S1-04-16,3,5416081
M1S1-04-16,3,5413400
M1S1-04-16,3,5415735
M1S1-04-17,3,5414385
M1S1-04-17,2,5415274
M1S1-04-17,3,5393117
M1S1-04-17,3,5414429
M1S1-04-17,3,5414362
HCAL-10-06,4,266706
M1S1-04-19,3,5413882
M1S1-04-19,3,5414146
M1S1-04-19,3,5414278
H1S1-07-21,4,5998101
H1S2-07-17,4,266707
M1S1-04-20,3,5414488
M1S1-04-20,3,5411825
M1S1-04-20,3,5393130
M1S1-04-20,3,5415189
M1S1-04-20,3,5410595
M1S1-01-02,2,5411646
HSU1-07-16,2,5834407
HCAL-06-03,5,266708
H1S1-08-25,3,5998103
H1S1-01-01,2,267661
H1S1-08-25,3,5998104
H1S1-08-25,3,5998105
H1S1-08-25,3,5998106
H1S1-09-07,2,267662
H1S1-09-12,3,5998108
M1S1-02-12,4,5414660
H1S1-09-12,3,5998110
H1S1-09-12,3,5998111
M1S1-05-02,3,5411857
H1S1-05-08,2,267663
HSU1-05-09,2,5626697
H1S1-04-02,3,267664
M1S1-05-04,3,5414191
H1S2-06-13,3,267665
M1S1-05-05,3,5414652
M1S1-05-05,3,5413551
M1S1-05-06,3,5410164
M1S1-05-06,3,5414193
M1S1-05-06,3,5416031
M1S1-05-06,3,5410333
M1S1-05-06,3,5413319
M1S1-05-07,3,5412247
HSU1-04-19,3,5824789
M1S1-05-07,3,5413831
M1S1-05-07,4,5414120
HSU1-02-07,4,5309696
HSU1-02-04,3,267666
M1S1-05-08,3,5410662
M1S1-05-08,3,5410572
HSU1-07-07,2,5843215
M1S1-05-08,3,5413845
M1S1-05-09,3,5413437
H1S1-10-15,3,5998115
M1S1-05-10,3,5415568
M1S1-05-10,3,5415286
M1S1-05-11,3,5410648
M1S1-05-11,3,5412728
H1S1-10-15,3,5998116
H1S1-10-15,3,5998117
H1S1-10-15,3,5998118
M1S1-05-13,3,5412539
M1S1-05-13,3,5414390
M1S1-05-13,3,5414545
M1S1-05-13,3,5413515
M1S1-05-13,3,5412944
M1S1-05-15,3,5415570
M1S1-05-17,3,5414818
H1S1-10-15,4,5998120
M1S1-05-17,3,5410575
M1S1-05-18,3,5415569
M1S1-05-19,4,5410357
M1S1-06-01,2,5415760
M1S1-06-01,3,5410167
H1S1-11-07,3,5998121
M1S1-06-02,3,5412708
M1S1-06-02,3,5412166
M1S1-06-02,3,5412917
M1S1-06-02,3,5414870
H1S1-11-07,2,5998122
M1S1-06-02,3,5413851
M1S1-06-03,3,5412677
M1S1-06-03,3,5414043
H1S1-11-07,3,5998123
M1S1-06-03,3,5412352
M1S1-06-04,3,5412701
M1S1-06-04,3,5411105
M1S1-06-04,3,5412148
M1S1-06-04,3,5414606
M1S1-06-05,3,5412513
M1S1-06-06,3,5410781
M2S1-09-12,3,5371440
M1S1-06-06,3,5416086
M1S1-06-06,3,5412205
M1S1-09-02,4,5414620
M1S1-06-07,3,5411101
M1S1-06-08,3,5410609
M1S1-06-08,3,5412946
M1S1-06-08,3,5413849
M1S1-06-09,3,5410611
H1S1-11-07,2,5998124
M1S1-06-09,3,5412042
M1S1-06-09,3,5414161
M1S1-06-10,3,5415927
M1S1-06-10,3,5415200
M1S1-06-10,3,5414331
